country,access_electricity_pct,low_carbon_elec_pct,gdp_per_capita_usd,transition_score,clean_access_ratio,fossil_lock_in,score_2000,score_2019,score_change,improvement_rate,cluster,cluster_name
Guinea,42.2,63.592236,1058.143368,49.27,26.84,38.96,33.33,49.27,15.94,0.839,3,Pobreza energética
Guinea-Bissau,30.961557,0.0,749.453747,16.06,0.0,74.04,18.61,16.06,-2.55,-0.134,3,Pobreza energética
Guyana,91.91576,13.114754,6609.51128,48.02,12.05,53.55,33.05,48.02,14.97,0.788,0,Emergentes fósiles
Haiti,45.990234,16.666666,1312.770636,30.06,7.67,59.88,40.91,30.06,-10.85,-0.571,3,Pobreza energética
Honduras,91.1,51.528778,2556.456891,61.67,46.94,39.56,56.76,61.67,4.91,0.258,2,Transición renovable
Hungary,100.0,61.392223,16735.65978,75.49,61.39,28.32,61.7,75.49,13.79,0.726,2,Transición renovable
Iceland,100.0,100.0,68941.46223,97.92,100.0,22.81,95.19,97.92,2.73,0.144,1,Desarrollados alto consumo
India,97.308266,21.475914,2100.751461,49.3,20.9,53.61,30.07,49.3,19.23,1.012,0,Emergentes fósiles
Indonesia,98.85,16.261044,4135.201531,49.84,16.07,51.99,41.8,49.84,8.04,0.423,0,Emergentes fósiles
Iraq,99.992004,5.987218,5980.626918,46.87,5.99,59.93,40.36,46.87,6.51,0.343,0,Emergentes fósiles
Ireland,100.0,38.41146,80886.61574,70.77,38.41,30.18,51.71,70.77,19.06,1.003,1,Desarrollados alto consumo
Israel,100.0,4.0435023,43951.24773,53.13,4.04,49.55,48.71,53.13,4.42,0.233,0,Emergentes fósiles
Italy,100.0,39.756306,33641.63375,68.24,39.76,34.13,57.02,68.24,11.22,0.591,0,Emergentes fósiles
Jamaica,99.36762,15.294118,5369.498371,50.49,15.2,54.02,40.8,50.49,9.69,0.51,0,Emergentes fósiles
Japan,100.0,25.860157,40777.6087,62.68,25.86,41.43,69.57,62.68,-6.89,-0.363,0,Emergentes fósiles
Jordan,100.0,15.542974,4405.487109,50.09,15.54,53.29,39.59,50.09,10.5,0.553,0,Emergentes fósiles
Kazakhstan,100.0,10.415101,9812.595808,50.64,10.42,57.8,44.95,50.64,5.69,0.299,0,Emergentes fósiles
Kenya,69.7,89.12098,1912.647867,71.13,62.12,25.31,31.6,71.13,39.53,2.081,3,Pobreza energética
Kiribati,90.03285,0.0,1601.861869,36.49,0.0,67.04,23.52,36.49,12.97,0.683,3,Pobreza energética
Kuwait,100.0,0.08509431,32373.25112,50.25,0.09,61.09,48.21,50.25,2.04,0.107,1,Desarrollados alto consumo
Kyrgyzstan,99.87424,92.385445,,84.04,92.27,,81.2,84.04,2.84,0.149,2,Transición renovable
Latvia,100.0,49.53416,17926.84159,70.39,49.53,32.86,72.78,70.39,-2.39,-0.126,2,Transición renovable
Lebanon,99.97487,5.5009823,7578.172368,47.5,5.5,55.93,45.12,47.5,2.38,0.125,0,Emergentes fósiles
Lesotho,44.50021,100.0,1113.37214,66.53,44.5,27.1,51.12,66.53,15.41,0.811,3,Pobreza energética
Liberia,23.1,0.0,672.3404992,13.31,0.0,84.78,18.58,13.31,-5.27,-0.277,3,Pobreza energética
Libya,68.6424,0.031555694,7685.948132,35.69,0.02,67.94,44.76,35.69,-9.07,-0.477,0,Emergentes fósiles
Lithuania,100.0,78.662415,19575.76848,83.82,78.66,19.32,77.79,83.82,6.03,0.317,2,Transición renovable
Luxembourg,100.0,74.76635,113218.7133,88.33,74.77,14.71,69.66,88.33,18.67,0.983,1,Desarrollados alto consumo
Madagascar,31.04,45.273632,522.9895243,35.17,14.05,54.64,38.4,35.17,-3.23,-0.17,3,Pobreza energética
Malawi,11.2,88.23529,591.8463896,48.99,9.88,25.19,42.18,48.99,6.81,0.358,3,Pobreza energética
Malaysia,100.0,16.115656,11432.823,53.75,16.12,51.12,47.34,53.75,6.41,0.337,0,Emergentes fósiles
